"PCE Bridge Table, 2007",,,,,,,,,
[Millions of dollars],,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,
,,,,Producers' Value,Transportation Costs,            Trade Margins,,Purchasers' Value,
NIPA Line,PCE Category,Commodity Code,Commodity Description,,,Wholesale,Retail,,Year
5,New motor vehicles ,3361MV,"Motor vehicles, bodies and trailers, and parts","179,166","3,696","8,759","41,531","233,151",2007
6,Net purchases of used motor vehicles ,Used,"Scrap, used and secondhand goods","69,125","2,942","1,499","37,613","111,180",2007
7,Motor vehicles parts and accessories ,327,Nonmetallic mineral products,54,7,6,53,120,2007
7,Motor vehicles parts and accessories ,331,Primary metals,15,0,1,15,32,2007
7,Motor vehicles parts and accessories ,332,Fabricated metal products,266,6,74,258,604,2007
7,Motor vehicles parts and accessories ,333,Machinery,0,0,0,0,0,2007
7,Motor vehicles parts and accessories ,334,Computer and electronic products,16,0,5,15,36,2007
7,Motor vehicles parts and accessories ,335,"Electrical equipment, appliances, and components","1,692",20,218,"1,642","3,572",2007
7,Motor vehicles parts and accessories ,3361MV,"Motor vehicles, bodies and trailers, and parts","12,682",180,"1,443","12,310","26,615",2007
7,Motor vehicles parts and accessories ,339,Miscellaneous manufacturing,192,27,38,186,442,2007
7,Motor vehicles parts and accessories ,325,Chemical products,338,7,21,170,536,2007
7,Motor vehicles parts and accessories ,326,Plastics and rubber products,"10,738",230,"1,838","10,408","23,214",2007
7,Motor vehicles parts and accessories ,Used,"Scrap, used and secondhand goods",-632,12,725,966,"1,072",2007
9,Furniture and furnishings ,321,Wood products,"1,930",119,234,"2,437","4,721",2007
9,Furniture and furnishings ,327,Nonmetallic mineral products,"2,295",316,609,947,"4,167",2007
9,Furniture and furnishings ,331,Primary metals,78,2,7,165,251,2007
9,Furniture and furnishings ,332,Fabricated metal products,321,7,85,681,"1,095",2007
9,Furniture and furnishings ,334,Computer and electronic products,816,15,127,"1,035","1,993",2007
9,Furniture and furnishings ,335,"Electrical equipment, appliances, and components","1,994",292,516,"2,552","5,355",2007
9,Furniture and furnishings ,337,Furniture and related products,"45,270","6,331","4,390","42,786","98,777",2007
9,Furniture and furnishings ,339,Miscellaneous manufacturing,"4,135",588,"1,275","4,204","10,202",2007
9,Furniture and furnishings ,313TT,Textile mills and textile product mills,"12,690",508,"4,611","11,133","28,943",2007
9,Furniture and furnishings ,315AL,Apparel and leather and allied products,122,5,49,155,330,2007
9,Furniture and furnishings ,323,Printing and related support activities,253,10,24,320,607,2007
9,Furniture and furnishings ,326,Plastics and rubber products,270,5,62,181,519,2007
9,Furniture and furnishings ,532RL,Rental and leasing services and lessors of intangible assets,"2,559",0,0,0,"2,559",2007
9,Furniture and furnishings ,Used,"Scrap, used and secondhand goods","2,413","4,474","1,671","3,736","12,295",2007
10,Household appliances ,331,Primary metals,27,1,2,17,47,2007
10,Household appliances ,333,Machinery,"3,553",77,"1,087","2,352","7,070",2007
10,Household appliances ,335,"Electrical equipment, appliances, and components","20,569","1,086","3,463","13,906","39,025",2007
10,Household appliances ,326,Plastics and rubber products,76,2,27,135,240,2007
10,Household appliances ,Used,"Scrap, used and secondhand goods",-131,353,27,131,380,2007
11,"Glassware, tableware and household utensils ",321,Wood products,798,49,86,262,"1,196",2007
11,"Glassware, tableware and household utensils ",327,Nonmetallic mineral products,"5,244",693,"1,856","2,481","10,274",2007
11,"Glassware, tableware and household utensils ",331,Primary metals,744,16,64,245,"1,068",2007
11,"Glassware, tableware and household utensils ",332,Fabricated metal products,"5,706",125,"1,475","1,905","9,211",2007
11,"Glassware, tableware and household utensils ",339,Miscellaneous manufacturing,310,4,64,104,482,2007
11,"Glassware, tableware and household utensils ",326,Plastics and rubber products,"14,367",291,"1,552","4,758","20,967",2007
11,"Glassware, tableware and household utensils ",Used,"Scrap, used and secondhand goods",566,407,222,414,"1,609",2007
12,Tools and equipment for house and garden ,321,Wood products,11,1,1,22,34,2007
12,Tools and equipment for house and garden ,327,Nonmetallic mineral products,298,68,27,150,543,2007
12,Tools and equipment for house and garden ,331,Primary metals,11,0,1,22,34,2007
12,Tools and equipment for house and garden ,332,Fabricated metal products,"1,772",39,600,"3,529","5,939",2007
12,Tools and equipment for house and garden ,333,Machinery,"2,034",44,334,"4,083","6,494",2007
12,Tools and equipment for house and garden ,334,Computer and electronic products,84,2,8,170,264,2007
12,Tools and equipment for house and garden ,335,"Electrical equipment, appliances, and components",87,1,21,174,283,2007
12,Tools and equipment for house and garden ,337,Furniture and related products,80,12,29,208,328,2007
12,Tools and equipment for house and garden ,339,Miscellaneous manufacturing,202,28,71,415,716,2007
12,Tools and equipment for house and garden ,313TT,Textile mills and textile product mills,13,1,4,33,51,2007
12,Tools and equipment for house and garden ,325,Chemical products,514,12,53,302,881,2007
12,Tools and equipment for house and garden ,326,Plastics and rubber products,121,2,18,316,457,2007
12,Tools and equipment for house and garden ,532RL,Rental and leasing services and lessors of intangible assets,"3,739",0,0,0,"3,739",2007
12,Tools and equipment for house and garden ,Used,"Scrap, used and secondhand goods",92,92,33,97,314,2007
14,"Video, audio, photographic, and information processing equipment and media ",333,Machinery,"2,022",43,808,278,"3,151",2007
14,"Video, audio, photographic, and information processing equipment and media ",334,Computer and electronic products,"79,635",877,"13,145","26,786","120,443",2007
14,"Video, audio, photographic, and information processing equipment and media ",335,"Electrical equipment, appliances, and components","1,446",17,354,509,"2,327",2007
14,"Video, audio, photographic, and information processing equipment and media ",339,Miscellaneous manufacturing,23,3,2,0,28,2007
14,"Video, audio, photographic, and information processing equipment and media ",315AL,Apparel and leather and allied products,24,1,5,8,38,2007
14,"Video, audio, photographic, and information processing equipment and media ",511,"Publishing industries, except internet (includes software)","23,718",276,"3,794","7,458","35,245",2007
14,"Video, audio, photographic, and information processing equipment and media ",512,Motion picture and sound recording industries,"19,202",224,"3,810","4,984","28,219",2007
14,"Video, audio, photographic, and information processing equipment and media ",514,"Data processing, internet publishing, and other information services","9,278",0,0,0,"9,278",2007
14,"Video, audio, photographic, and information processing equipment and media ",Used,"Scrap, used and secondhand goods",-33,252,36,69,324,2007
15,"Sporting equipment, supplies, guns, and ammunition ",331,Primary metals,8,0,1,6,15,2007
15,"Sporting equipment, supplies, guns, and ammunition ",332,Fabricated metal products,"4,015",88,"1,387","3,142","8,632",2007
