"","New domestic autos","New foreign autos","New light trucks","Net transactions in used autos","Used auto margin","Net transactions in used trucks","Used truck margin","Beef and veal","Pork","Poultry","Household cleaning products","Household paper products","Hair, dental, shaving, and miscellaneous personal care products except electrical products","Cosmetic / perfumes / bath / nail preparations and implements"
"1983-01-01",33139,23512,12098,8018,7630,461,981,24217,13544,9943,13809,10198,9194,12568
"1983-02-01",33438,21015,11495,10333,7365,467,944,24462,13828,9980,14021,10298,9355,12707
"1983-03-01",37149,21395,13519,4294,7954,584,1123,24542,14002,9983,14171,10375,9442,12872
"1983-04-01",40601,21514,15583,8026,8465,716,1311,24600,14149,10010,14345,10451,9571,12941
"1983-05-01",43300,22747,15659,6883,8643,761,1332,24482,14175,9988,14409,10462,9662,13091
"1983-06-01",46283,25872,17202,6092,8517,880,1479,24580,14303,10076,14613,10566,9810,13310
"1983-07-01",45739,25225,17555,7486,9336,937,1522,24628,14386,10166,14766,10642,9967,13468
"1983-08-01",42226,24633,17777,9588,8664,986,1552,24418,14294,10164,14790,10614,9991,13541
"1983-09-01",41685,22951,19843,7515,8940,1138,1742,24364,14270,10239,14920,10687,10132,13752
"1983-10-01",42548,29260,19207,9399,9187,1130,1692,24239,14180,10295,14973,10676,10144,13840
"1983-11-01",42544,27694,19298,8830,9230,1161,1704,24247,14144,10415,15117,10738,10265,14029
"1983-12-01",49636,28242,22818,9080,8825,1399,2018,24086,13985,10466,15106,10681,10171,13928
"1984-01-01",49108,28890,21460,12988,8880,1332,1897,24297,13969,10694,15388,10856,10480,14381
"1984-02-01",50551,26665,20915,8265,9239,1311,1846,24371,13842,10874,15440,10837,10459,14322
"1984-03-01",49169,26319,21678,11497,8028,1367,1907,24568,13813,11104,15583,10884,10473,14207
"1984-04-01",47745,27318,22344,12745,8685,1410,1957,24622,13732,11262,15732,10958,10658,14578
"1984-05-01",50143,29244,22429,12471,9133,1415,1953,24551,13607,11351,15822,10992,10688,14753
"1984-06-01",49532,28915,22118,13034,9665,1391,1912,24721,13644,11539,16060,11108,10831,15078
"1984-07-01",50408,25666,22923,14667,9334,1430,1963,24468,13470,11513,15975,10997,10729,14805
"1984-08-01",48174,27342,22349,12615,9207,1384,1896,24431,13443,11568,16082,11028,10793,14904
"1984-09-01",43286,27654,21235,20025,9115,1305,1784,24497,13498,11653,16271,11118,10956,15176
"1984-10-01",45548,30169,25067,8628,8898,1523,2080,24226,13392,11553,16202,11026,10915,15167
"1984-11-01",48424,30255,24873,18823,8751,1497,2039,24286,13494,11583,16387,11117,11070,15415
"1984-12-01",53944,31259,22873,14262,8801,1365,1854,24018,13438,11431,16363,11038,11114,15441
"1985-01-01",52117,30230,29139,17200,8519,1719,2331,24136,13653,11402,16509,11107,11122,15479
"1985-02-01",52270,30577,30203,10202,8715,1769,2383,24117,13819,11291,16657,11154,11288,15739
"1985-03-01",53119,29177,29041,20820,9026,1694,2263,23951,13880,11131,16656,11112,11271,15707
"1985-04-01",54729,30267,28920,8566,9159,1681,2225,24120,14117,11145,16857,11178,11362,15840
"1985-05-01",51735,34488,29894,23123,9212,1742,2277,23984,14155,11034,16876,11143,11382,15885
